0,Porta,#,12,80
1,#,#,25,80
2,Unique,Fashion,25,70
3,Lojas Brasil,Market,25,50
4,#,#,25,25
5,#,#,55,25
6,Cacau Show,Food,55,40
7,Samsung,Tech,60,40
8,#,#,60,50
9,JBL,Tech,90,50
10,Huawei,Tech,110,50
11,TPLINK,Tech,125,50
12,Praça de Alimentação,Food,135,50
13,Cinema,Entertainment,135,30
14,#,#,135,20
15,Kei,Market,145,20
16,OnePlus,Tech,155,20
17,Galego Do Peixe,Food,165,20
18,Steak House,Food,165,40
19,BK,Food,165,55
20,Mc Donalds,Food,165,65
21,#,#,165,85
22,#,#,135,85
23,POP,Food,135,90
24,Honda,Automotive,135,100
25,#,#,145,100
26,Cooler Master,Tech,145,105
27,Jesus High Tech,Tech,145,120
28,Estrijoias,Fashion,155,120
29,Americanas,Market,155,145
30,Magazine Luiza,Market,125,145
31,Joalheira Pérola,Fashion,110,145
32,ItatechJr,Tech,90,145
33,Riot Games,Games,80,145
34,My Drunks,Drink,60,145
35,Golden Fitness,Fit,50,145
36,#,#,50,135
37,#,#,50,120
38,#,#,35,110
39,Hoyoverse,Games,35,90
40,Asus,Tech,35,80
41,#,#,35,60
42,Evolution,Fit,40,60
43,Motorola,Tech,55,60
44,#,#,55,50
45,#,#,35,50
46,Renner,Fashion,80,135
47,Riachuelo,Fashion,90,135
48,#,#,145,135
49,Apple,Tech,25,90
50,Sky,Tech,25,105
51,Logitech,Tech,25,110
52,Musicyan,Music,25,120
53,Xiaomi,Tech,85,60
54,Conecta Imports,Tech,95,60
55,LG,Tech,105,60
56,Pingo de Ouro,Fashion,115,60
57,Yamaha,Automotive,125,60
58,#,#,135,60
59,#,#,135,65
60,Bobs,Food,135,75
